brand,name,price,concentration,gender,scents,base_note,middle_note,Gender_encoded,scent_strength,price_normalized,notes_diversity,base_note_0,base_note_1,base_note_2,base_note_3,base_note_4,base_note_5,base_note_6,base_note_7,base_note_8,base_note_9,base_note_10,base_note_11,middle_note_0,middle_note_1,middle_note_2,middle_note_3,middle_note_4,middle_note_5,middle_note_6,middle_note_7,middle_note_8,middle_note_9,middle_note_10,middle_note_11
Laura Mars,Splandid,36.0,EDP,Women,Floral,"Vanilla, Amber","Jasmine, Geranium, Neroli and Ylang-Ylan",0,2,0.034074485825458585,6,Vanilla,Amber,,,,,,,,,,,Jasmine,Geranium,Neroli,Ylang-Ylan,,,,,,,,
GIORGIO ARMANI,Stronger With You,170.0,EDT,Men,Vanilla,"Vanilla, Chestnut, Cedar, Amber wood, Guaiac Wood","Pineapple, Sage, Melon, Cinnamon, Lavender",1,1,0.1830461367426348,10,Vanilla,Chestnut,Cedar,Amber wood,Guaiac Wood,,,,,,,,Pineapple,Sage,Melon,Cinnamon,Lavender,,,,,,,
CHLOE,Chloe,186.0,EDP,Women,Floral,"Cedar, Amber","Magnolia, Lily-of-the-valley, Rose",0,2,0.20083379655364092,5,Cedar,Amber,,,,,,,,,,,Magnolia,Lily-of-the-valley,Rose,,,,,,,,,
HERMES,Terre D'Hermes,9.55,EDT,Men,Citrus,"Patchouli, Cedar, Vetiver and Benzoin",Pepper and Pelargonium,1,1,0.004669260700389106,6,Patchouli,Cedar,Vetiver,Benzoin,,,,,,,,,Pepper,Pelargonium,,,,,,,,,,
Elizabeth Arden,5Th Avenue,89.4,EDP,Women,Floral,"Amber, Vanilla, Clove, Iris, Musk, Sandalwood","Peach, Jasmine, Bulgarian Rose, Violet, Tuberose, Carnation, Nutmeg, Ylang-Ylang",0,2,0.09344080044469151,15,Amber,Vanilla,Clove,Iris,Musk,Salwood,Sandalwood,,,,,,Peach,Jasmine,Bulgarian Rose,Violet,Tuberose,Carnation,Nutmeg,Ylang-Ylang,,,,
VERSACE,Dylan Blue,217.85,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",1,1,0.23624235686492495,9,Incense,Musk,Tonka Bean,Saffron,,,,,,,,,Ambroxan,Patchouli,Black Pepper,Violet Leaf,Papyrus,,,,,,,
Benetton,Hot Gold,27.45,EDT,Women,Fresh,"Amber, Musk, Sandalwood","Carambola, Rose, Mimosa",0,1,0.0245692051139522,7,Amber,Musk,Salwood,Sandalwood,,,,,,,,,Carambola,Rose,Mimosa,,,,,,,,,
PACO RABANNE,Invictus,210.0,EDT,Men,Citrus,Guaiac Wood and Patchouli Heart,Ambregris Accord and Grapefruit Zests,1,1,0.22751528627015008,4,Guaiac Wood,Patchouli Heart,,,,,,,,,,,Ambregris Accord,Grapefruit Zests,,,,,,,,,,
Roberto Cavalli,Nero Assoluto,129.55,EDP,Women,Arabian,"Ebony, Woodsy Notes",Vanilla,0,2,0.13807670928293497,3,Ebony,Woodsy Notes,,,,,,,,,,,Vanilla,,,,,,,,,,,
DORALL COLLECTION,Scholar,9.45,EDT,Men,Floral,"Patchouli, Moss, Woody-Amber, Sandalwood, Musk, Dry Woods.","Jasmine, Peach, Apple, Green Notes, Lavender, Muguet, Dried Fruits.",1,1,0.004558087826570316,14,Patchouli,Moss,Woody-Amber,Salwood,Sandalwood,Musk,Dry Woods.,,,,,,Jasmine,Peach,Apple,Green Notes,Lavender,Muguet,Dried Fruits.,,,,,
